Gender,Age,Hours,mph,finish_all
F,43,5.4881,4.7774,1709
F,53,5.4906,4.7752,1711
F,42,5.4908,4.775,1712
F,56,5.4914,4.7745,1713
F,53,5.4933,4.7728,1715
F,39,5.4939,4.7723,1716
F,41,5.5108,4.7577,1720
F,42,5.5133,4.7555,1721
F,49,5.5236,4.7467,1723
F,37,5.5258,4.7448,1724
F,45,5.5333,4.7383,1726
F,58,5.5406,4.7322,1727
F,36,5.5419,4.731,1729
F,23,5.5419,4.731,1730
F,40,5.5442,4.7291,1731
F,40,5.5444,4.7288,1733
F,49,5.5494,4.7246,1735
F,48,5.5578,4.7175,1737
F,31,5.5606,4.7151,1738
F,36,5.5622,4.7137,1739
F,58,5.5661,4.7104,1740
F,48,5.5694,4.7076,1741
F,29,5.575,4.7029,1743
F,53,5.5764,4.7017,1744
F,48,5.5767,4.7015,1745
F,54,5.5789,4.6996,1746
F,36,5.5803,4.6985,1747
F,23,5.5908,4.6896,1748
F,23,5.5911,4.6894,1749
F,42,5.6,4.6819,1751
F,43,5.6014,4.6808,1753
F,19,5.605,4.6777,1755
F,32,5.6056,4.6773,1756
F,37,5.6072,4.6759,1757
F,50,5.6108,4.6729,1758
F,46,5.6183,4.6666,1759
F,33,5.6219,4.6636,1760
F,52,5.6253,4.6609,1763
F,33,5.6286,4.6581,1764
F,31,5.6297,4.6572,1766
F,55,5.6344,4.6533,1768
F,23,5.6411,4.6478,1770
F,36,5.6428,4.6464,1771
F,29,5.6642,4.6289,1775
F,24,5.6642,4.6289,1776
F,47,5.665,4.6282,1778
F,36,5.6667,4.6268,1779
